wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
95.0;324.0;4.0;einfamilienhaus;0;1977;0;3;189000;77243287;26524;Straße nicht freigegeben;Berumbur;;8;2100
65.0;430.0;3.0;doppelhaushälfte;2;1956;0;3;189000;11351291;38524;Straße nicht freigegeben;Sassenburg;Triangel;1;2750
107.0;443.0;5.0;einfamilienhaus;0;1946;3;1;189000;10579528;26725;Straße nicht freigegeben;Emden;Borssum/Hilmarsum;9;2150
100.0;1100.0;4.0;bungalow;2;1974;0;3;189950;84110006;29313;Straße nicht freigegeben;Hambühren;Oldau;6;2300
110.96;899.0;9.0;einfamilienhaus;2;1900;0;1;190000;76574251;31749;Straße nicht freigegeben;Auetal;Rehren;2;2050
160.0;745.0;6.0;mehrfamilienhaus;2;1965;0;1;190000;23099913;38154;Straße nicht freigegeben;KönigslutteramElm;Lelm;6;2550
94.0;621.0;4.0;doppelhaushälfte;2;1951;1;1;190000;96304962;21406;Straße nicht freigegeben;Melbeck;;2;3200
130.0;1312.0;5.0;einfamilienhaus;2;1970;1;3;190000;82558007;26835;Straße nicht freigegeben;Neukamperfehn;;1;2000
166.0;1000.0;5.0;einfamilienhaus;1;1967;2;3;190000;15826837;26607;Straße nicht freigegeben;Aurich;;5;2400
130.04;1312.04;5.0;einfamilienhaus;2;1970;1;3;190000;84078474;26835;Straße nicht freigegeben;Neukamperfehn;Neuefehn;1;2000
212.0;970.0;4.0;mehrfamilienhaus;0;1890;2;1;194500;39570004;38723;Straße nicht freigegeben;SeesenRhüden;;6;1250
90.0;702.0;5.0;einfamilienhaus;2;1965;1;1;195000;99262008;29345;Straße nicht freigegeben;Südheide;Unterlüß;0;1600
110.0;599.0;5.0;einfamilienhaus;1;1952;0;3;195000;44742492;26723;Straße nicht freigegeben;Emden;Twixlum;9;2150
160.0;8295.0;6.0;einfamilienhaus;0;1971;0;3;195000;24566860;29482;Straße nicht freigegeben;Küsten;Karmitz;0;1200
186.0;963.0;7.0;mehrfamilienhaus;1;1977;1;1;195000;34296247;29462;Straße nicht freigegeben;Wustrow;Wendland;0;1300
90.0;985.0;4.0;einfamilienhaus;1;1960;0;3;195000;74585045;26725;Straße nicht freigegeben;Emden;Widdelswehr/Jarßum;9;2150
